ประเภทรถไฟ,เส้นทางต้นทาง,รหัสสถานีต้นทาง,สถานีต้นทาง,เส้นทางปลายทาง,รหัสสถานีปลายทาง,สถานีปลายทาง,ค่าโดยสารหน่วยบาท,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N24,Khu Khot, 0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N23,Yaek Kor Por Aor,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N22,Royal Thai Air Force Museum,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N20,Saphan Mai,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N19,Sai Yud,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N18,Phahon Yothin 59,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N17,Wat Phra Sri Mahathat,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N16,11th Infantry Regiment,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N15,Bang Bua,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N14,Royal Forest Department,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N13,Kasetsart University,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N12,Sena Nikhom,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N11,Ratchayothin,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N10,Phahon Yothin 24,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N9,Ha Yaek Lat Phrao,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N8,Mo Chit,0,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N7,Saphan Khwai,17,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N6,Sena Ruam*,25,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N5,Ari,28,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N4,Sanam Pao,32,,
รถไฟฟ้า ,สายสุขุมวิท,N24,Khu Khot,สายสุขุมวิท,N3,Victory Monument,35,,
